VJT-723;4798;3040;Készpénz
WMM-172;6885;4108;Utalás
WMM-172;6267;4157;Utalás
VJT-723;5546;3348;Kártya
NOJ-256;2688;2291;Utalás
LVA-242;6707;4190;Utalás
IDH-128;3059;2265;Utalás
IDH-128;3281;2758;-
AYV-491;6687;3902;Kártya
ECV-692;4510;3421;Csekk
NOJ-256;5132;3211;Készpénz
TDE-749;4876;3250;Utalás
LNW-370;534;1364;Készpénz
WMM-172;434;1106;Kártya
VJT-723;1593;1654;Csekk
NGP-511;5859;3880;Kártya
PBJ-332;6336;4017;Utalás
NCG-060;3738;2942;Készpénz
NGP-511;2205;1967;Kártya
NGP-511;7015;4611;Csekk
NGP-511;6357;4243;Kártya
TJX-519;1376;1850;Készpénz
TDE-749;6583;3914;-
LVA-242;5420;3278;Készpénz
QZA-521;7179;4318;Készpénz
NGP-511;6948;4519;Csekk
NGP-511;3887;3127;Készpénz
NSC-669;3804;2841;Kártya
LVA-242;2809;2222;Kártya
WHJ-666;5127;3203;Csekk
NCG-060;5115;3460;Készpénz
NCG-060;338;1077;Készpénz
LVA-242;5304;3671;Kártya
NCG-060;4770;3227;Utalás
NSC-669;7172;4264;Kártya
LVA-242;4720;3407;Kártya
NOJ-256;4879;3293;-
UAT-431;1773;2006;Csekk
TJX-519;5210;3728;Készpénz
IDH-128;5897;3719;Csekk
ECV-692;2882;2168;Kártya
VJT-723;3116;2240;Utalás
IDH-128;6398;4201;Kártya
LNW-370;1075;1781;Utalás
LVA-242;4050;2749;Készpénz
IDH-128;3344;2893;Csekk
WMM-172;3424;2407;Utalás
IDH-128;2103;2117;-
NGP-511;5841;3647;Utalás
TJX-519;4387;3276;Készpénz
NSC-669;4640;3069;Csekk
UAT-431;955;1250;Csekk
LNW-370;3086;2592;Csekk
NCG-060;1717;1858;Csekk
NOJ-256;6272;4287;Készpénz
WHJ-666;6651;4378;Csekk
WHJ-666;2785;2698;Készpénz
TJX-519;5531;3548;Utalás
PBJ-332;2777;2660;Kártya
QZA-521;2332;1960;Utalás
UAT-431;2621;2149;Kártya
NGP-511;3152;2392;Utalás
NCG-060;1058;1870;Kártya
IDH-128;7004;4431;Csekk
NGP-511;1893;2025;-
IDH-128;518;1687;Kártya
TDE-749;3903;2703;Készpénz
UAT-431;6688;4241;Kártya
QZA-521;4439;3185;Kártya
TJX-519;3628;2738;Utalás
NFD-940;6555;4131;Csekk
NGP-511;5347;3266;Készpénz
NFD-940;3782;2686;Készpénz
QZA-521;6529;4242;Csekk
WJL-641;6535;3740;Utalás
PBJ-332;4253;3336;Csekk
WJL-641;5600;3767;Utalás
PBJ-332;6004;3518;Utalás
LNW-370;4934;3491;Utalás
XMO-775;2965;2735;Csekk
PBJ-332;1538;1674;Utalás
UAT-431;5080;3301;Készpénz
AYV-491;7012;4056;-
NGP-511;5375;3773;Kártya
UAT-431;6052;3846;Kártya
XMO-775;4762;3309;Utalás
VJT-723;4936;3688;Utalás
AYV-491;2210;2001;Csekk
WJL-641;1903;2161;Utalás
TDE-749;6465;3798;Csekk
NFD-940;5826;3999;Készpénz
VJT-723;5025;3156;-
NFD-940;2806;2127;Készpénz
AYV-491;6757;4118;Készpénz
ECV-692;2286;2525;Kártya
VJT-723;1177;1580;Készpénz
PBJ-332;6565;4351;Készpénz
NOJ-256;2611;2058;Csekk
TJX-519;1680;1854;Utalás
TDE-749;6146;4018;Kártya
NOJ-256;3277;2453;Utalás
WHJ-666;6330;3747;Készpénz
WJL-641;1016;1370;Kártya
PBJ-332;2532;2436;Utalás
AYV-491;6334;3924;Csekk
NFD-940;4650;3141;Kártya
QZA-521;6236;3851;Csekk
AYV-491;5888;3599;Utalás
LVA-242;4624;3266;Csekk
IDH-128;3645;2844;Kártya
NGP-511;5561;3951;Utalás
NFD-940;4791;3192;Utalás
IDH-128;4659;3190;-
NFD-940;2126;2353;Utalás
ECV-692;4797;3134;Készpénz
IDH-128;2602;2248;Csekk
LNW-370;6125;3863;Utalás
NOJ-256;6069;3928;Kártya
NFD-940;3304;2841;Kártya
NCG-060;4224;2933;-
